ls_number,ls_title,english_title,composer
258,"Janganlah Tawar Hatimu","Never Give Up","Frances Ridley Havergal"
260,"Bawa Persembahanmu","They Brought Their Gift To Jesus",M.G.L
262,"Hai Saudara Mengapa?","Why Not Now?",""
263,"Bila Selesai Tugas Kerjaku","O That Will Be Glory For Me","Charles H. Gabriel"
264,"Aku Tak Cinta Dunia","Is My Name Written There",M.A.K
266,"Bawa Sgala Persepuluhanmu","Bring Ye All Tithes, Mal. 3:10","Helen. E. Rasmussen"
267,"Tarik Jiwa Satu","Take Me As I Am",""
269,"Berjalanlah Di Dalam Trang","Walk In The Light","Bernard Barton"
270,"Dosamu Dihapuskan","Tho'your Sins Be As Scarlet","Fanny J. Crosby"
272,"Bahagia Hari Itu","Happy Day","Philip Doddrige"
273,"Dengar Lonceng Surga","Ring The Bells Of Heaven","Ref. W. O. Cushing"
279,"Kristus Tlah Slamatkan","Jesus Save, Jesus Save","Priscilla J. Owens"
283,"Siapa Yang Mendengar, Serukanlah","Whosoever Will",""
284,"Eden, Taman Yang Terindah","Beautiful Valley Of Eden","W. O. Chusing"
285,"Ku Dengar Lagu Yang Merdu","There Comes To My Heart","P. P Bilhorn"
286,"Bila Yesus Akan Mengumpulkan","When Jesus Shall Gather The Nations","Harriet B. M. Keever"
287,"Satu Saja Ku Ingini","So Wash Me Thou Without Within","Walter C. Smith"
289,"Brani Hati Karna Benar","Dare To Do Right","G. Lansing Taylor"
290,"Duduk Dekat Kaki Yesus","Sitting At The Feet Of Jesus","J. H"
291,"Siapa Masuk Pintu Gerbang?","Shall You? Shall I?","G. M. J"
292,"Bila Laut Kehidupanmu Berglombang","Count Your Many Blessings","Johnson Oatman, Jr."
294,"Ku Yakin Bapa Pasti Tau","He Knows","S. M. I Henry"
295,"Sahabat, Teman, Pemimpin","Friends, Companions, Guides","Arthur W. Spalding"
296,"Nama Yesus Amat Indah","Jesus Oh How Sweet The Name","W. C Martin"
298,"Slamat Di Lengan Yesus","Save In The Arms Of Jesus","Fanny J. Crosby"
299,"Ku Lihat Yesus","I See Jesus","A. H. Ackley"
300,"Di Surga Tempat Yang Baka","","W. H. Bellamy"
302,"Pertahankan Benteng","Hold The Fort","P. P Bliss"
308,"Biarkan Aku Pergi","Missionary's Farewell","I Baltzell"
309,"Betapa Merdu Suara","Angel Voices Sweetly Singing",""
311,"Aku Mengasihi Tuhan","I Know I Love Thee Better, Lord","Francess Ridley Havergal"
312,"Ku Bersuka Sebab Bapa Kita","I'm So Glad That Our Father","P. P Bliss"
313,"Aku Mau Yesus Sertaku","I Must Have The Saviour With Me","Lizzie Edwards Durt"
315,"Orang Asing Di Pintu","There's A Stranger At The Door","J. B. Atchinson"
318,"Jangan Ditaklukkan","Yield Not To Temptation","Horatio R. Palmer"
319,"Mari Kita Kerja Bagi Tuhan","Gladly, Gladly Toiling For The Master",""
320,"Rahmat Bapa Bercahaya","Let The Lower Lamps Be Burning","P. P Bliss"
322,"Dari Timur Dan Barat","From Greenland&#39;s Icy Mountains","Reginald Heber"
325,"Hai Mana Penyabit","",""
328,"Aku Mau Membagikan Imanku","I Share My Faith","J. H. H"
329,"Kerjalah! Kerjalah!","Toiling On","Fanny J. Crosby"
331,"Ada Kisah Kami Mau Critakan","We&#39;ve A Story To Tell","Coling Sterne"
335,"Dalam Kerja Rajaku","In The Service The King","A. H. Ackley"
341,"Hari Perhentian Allah","Holiday, Jehovah's Rest","F. E. Belden"
343,"Enam Hari Sudah Lalu","Another Six Days Work Is Done","S. Stennett"
349,"Datanglah Lagi Hari Yang Suci","Again The Day Return","William Mason"
351,"Selamat Datang","Welcome, Delightful Morn","John Dobell's Selection"
356,"Tuhan, Kasihanilah Kami Ini","Lord, Be Merciful",""
359,"Aku Perlu Yesus","I Need Jesus","George O. Webster"
360,"Ada Negri Amat Indah","O Beulah Land! Sweet Beulah Land","Edgar Page"
361,"Sesudah Malam","Beyond The Sunset","Virgil P. Brock"
362,"Aku Pikirkan Skarang","I Am Thinking To Day","E. E Hewitt"
364,"Bukit–bukit Yang Permai","O The Beautiful Hills","J. G. C"
366,"Lebih Dekat, Lebih Indah","Home Heavenly Home","Jesse P. Tompkins"
369,"Di Kota Allah Yang Indah","In the Christian's Home in Glory","William Hunter"
372,"Sebrang Langit Biru","Somewhere Beyond The Blue","A. B. S"
374,"Aku Mau Pulang","I'm On My Way Home","Warner Cole"
375,"Sudah Dekatlah Rumah Di Surga","Nearing Home","C. P Whitford"
385,"Kita Hidup Skarang Ini","To Be Living Sublime","Arthur C. Coxe"
389,"Satu Masa Yang Tertentu","Someday The Silver Cord Will Break","Fanny J. Crosby"
390,"Angkat Nafiri","Lift Up The Trumpet","Jessie E. Strout"
398,"Kalau Kau Mau Senang","If You Want Joy","J. D. C"
400,"Bukalah Hatimu","You Must Open The Door",""
407,Duka,Heartaches,"Francess Ridley Havergal"
412,"Kami Sembah Sujud Allah","We Praise, O God, We Worship","L. E. Froom"
425,"Bersabdalah, Ya Yesus","Speak To My Soul, Dear Jesus","Frances Ridley Havergal"
427,"Ku Perlu Pada-Mu Tuhan","Blessed Lord, How Much I Need","F. E. Belden"
428,"Taman Tempat Berdoa","There's A Garden Where Jesus Pray","Eleanor Allen Schroll"
429,"Berjagalah Skarang","Watch And Pray",""
430,"Bisik Doa Waktu Pagi","Whisper A Prayer","Frances Rudley Havergal"
437,"Ia Allah Tak kan Gagal","He Cannot Fail For He Is God","C. E. Mason Jr"
452,"Yesus Tak Pernah Gagal","Jesus Never Falls","A. A. Luther"
453,"Rindu Pada Yesus","Precious Redeemer, My Brother","H. de. F"
454,"Hatiku Rindu","I've A Longin In My Heart For Jesus","Dorothy Masters"
484,"Aku Senang Dan Girang Selalu","I'm So Happy And Here's The Reason Why","S. W. G"
491,"Di Rumah",-,""
493,"Doa Ibu","My Mother&#39;s Prayer","W. Van De Venter"
494,"Di Dalam Sengsara Dan Keluhanku","Mid Pleasures And Palaces","John Howard Payne"
495,"Sungguh Senang Hatiku","It Is Morning In My Heart","A. H. Ackley"
498,"Pemuda Skalian","We Have Heard Thy Call","C. Harold Lowden"
499,"Trang Dari Surga","Heavenly Sunshine","Charles E. Fuller"
500,"Pemuda Majulah",Volunteers,"A. W. Spalding"
501,"Kumpulan Orang Muda",-,"C. Lester Bond"
502,"Karena Allah Kasih","For God So Loved The World","C. Austin Miles"
503,Pandu-pandu,Pathfinders,"Henry T. Bergh"
504,"Tiada Sahabat Seperti Yesus","No, Not One","Johnson Oatman"
505,"Kita Maju Bersama","We'll March Along Together","John H. Hancock"
506,"Semua Orang Harus Tau","Everybody Ought To Know Jesus",""
508,"Tuhan, Bri Kami Setia","Lord Keeps Us Faithful","Henry de Fluiter"
509,"Dalam Hati","Into My Heart","Harry D. Clarke"
510,"Lebar Sperti Lautan","Wide, Wide As The Ocean","C. Austin Miles"
511,"Ajaib Engkau Ya Yesus","Wonderful, Wonderful, Jesus","Benyamin A. Baur"
512,"Apa Yang Dunia Perlu","What The World Need Is Jesus","Benjamin A. Baur"
525,"Masyhurkan Karunia-Nya","Proclaim His Grace","Bruce Ashton"
