sda_hymnal_num,sda_hymnal_title,ls_number,ls_title,sda_source
62,"How Lovely Is Thy Dwelling Place",52,"Betapa Indah Rumah-Mu",site
64,"Lord, Dismiss Us With Thy Blessing",55,"Ya Allah Berkati Kami",site
65,"God Be With You",54,"Harap Allah Beserta Kamu",site
67,"O Lord Now Let Your Servant",420,"Tuhan, Biarlah Hamba-Mu",site
68,"On Our Way Rejoicing",58,"Majulah Berjalan",title-match
69,"Lord Make Us More Holy",59,"Tuhan Jadikanlah Kami Lebih Suci",site
70,"Praise Ye the Father",65,"Pujilah Bapa",site
73,"Holy, Holy, Holy",13,"Suci, Suci, Suci",site
74,"Like a River Glorious",70,"Sempurna Dan Mulia",site
75,"The Wonder Of It All",71,"Ajaiblah Terbenamnya Mentari",title-match
76,"O Love That Wilt Not Let Me Go",72,"Besar Kasih-Mu Ya Allah",site
78,"For God So Loved Us",74,"Karna Demikian Besar Kasih-Nya",site
79,"O Love of God, How Strong and True!",176,"Kasih Allah Benar dan teguh",site
81,"Thou I Speak With Tongues",202,"Walau Ku Berbahasa Malaikat",site
82,"Before Jehovah's Awful Throne",1,"Di Hadapan Hadirat-Mu",site
83,"O Worship the King",86,"Sembahlah Allah Yang Maha Mulia",site
85,"Eternal Father, Strong to Save",76,"Bapa Kekal Yang Slamatkan",site
86,"How Great Thou Art",77,"Ya Tuhanku Sungguh Ku Terpesona",title-match
88,"I Sing the Mighty Power of God",79,"Ku Puji Tuhan Yang Ciptakan",site
89,"Let All On Earth Their Voices Raise",80,"Segnap Bumi Bersoraklah",site
91,"Ye Watchers and Ye Holy Ones",81,"Hai Mlaikat Suci Di Surga",site
93,"All Things Bright and Beautiful",83,"Alam Indah Cemerlang",site
95,"Spring Has Now Unwrapped the Flowers",84,"Musim Semi Tlah Datang",site
96,"The Spacious Firmament",85,"Sungguh Luas Cakrawala",site
98,"Can You Count the Stars?",87,"Dapatkah Kau Hitung Semua Bintang",site
99,"God Will Take Care of You",88,"Tuhan Pliharakan",site
100,"Great Is Thy Faithfulness",89,"Besarlah Ya Tuhan Kasih Setia-Mu",site
101,"Children of the Heavenly Father",90,"Umat Allah Yang Pengasih",site
103,"O God, Our Help",94,"Oh Tuhan Perteduhanku",site
104,"My Shepherd Will Supply My Need",91,"Gembalaku, Penolongku",site
108,"Amazing Grace",98,"Sungguh Ajaib Anugrah-Mu",site
109,"Marvelous Grace",93,"Rahmat Tuhan",site
110,"God's Free Mercy Streameth",96,"Limpah Rahmat Allah",site
111,"It Took A Miracle",99,"Bapaku Maha Kuasa",title-match
112,"Let Us With a Gladsome Mind",39,"Puji Syukur Bagi-Nya",site
114,"There's a Wideness",92,"Besarlah Anugrah Tuhan",site
115,"O Come, O Come, Immanuel",101,"O, Datanglah Imanuel",site
117,"The Advent of Our God",104,"Kedatangan Tuhan",site
118,"The First Noel",103,"Malam Natal",site
119,"Angels, from the Realms of Glory",106,"Hai Malaikat Surga Mulia",site
120,"There's a Song in the Air",102,"Ada Lagu Merdu",site
121,"Go Tell It On The Mountain",107,"Pergilah Dan Kabarkan",title-match
122,"Hark! the Herald Angels Sing",105,"Dengar Malaikat Nyanyi",site
124,"Away in a Manger",108,"Di Dalam Palungan",site
125,"Joy to the World!",114,"Kesukaan Bagi Dunia",site
130,"It Came Upon the Midnight Clear",109,"Di Malam Cerah Bergema",site
131,"Lo, How a Rose E'er Blooming",110,"Pandanglah Bunga Mawar",site
132,"O Come, All Ye Faithful",111,"Mari Umat Tuhan",site
133,"Now Is Born The Divine Christ Child",112,"Tlah Lahir Yesus Yang Kudus",title-match
135,"O Little Town of Bethlehem",115,"Hai Betlehem Yang Senyap",site
137,"We Three Kings of Orient Are",113,"Tiga Raja Dari Timur",site
139,"While Shepherds Watched Their Flocks",118,"Kala Gembala Menjaga",title-match
140,"Thou Didst Leave Thy Throne",116,"Kau Tinggalkan Takhta Surga",site
141,"What Child Is This?",119,"Siapa Bayi Yang Berbaring",site
142,"Angels We Have Heard On High",117,"Dengar Suara Malaikat",site
143,"Silent Night, Holy Night",120,"Malam Kudus, Sunyi Senyap",site
146,"I Think When I Read That Sweet Story",122,"Bila Ku Renungkan",site
149,"Once in Royal David's City",125,"Dahulu Di Kota Daud",site
150,"Who Is He In Yonder Stall",121,"Siapa Dia Nun Di Sana?",title-match
151,"Jesus Walked This Lonesome Valley",124,"Yesus Berjalan Sendiri",title-match
152,"Tell Me the Story of Jesus",123,"Critakanlah Kisah Yesus",site
153,"Prince of Peace Control My Will",396,"Raja Damai Tuntunlah",site
154,"When I Survey the Wondrous Cross",130,"Bila Ku Pandang Salib-Mu",site
154,"When I Survey The Wondrous Cross",281,"Bila Pandang Salib Yesus",title-match
156,"O Sacred Head Now Wounded",126,"Kepala-Mu Yang Luka",site
158,"Were You There?",131,"Renungkanlah Tuhan",site
159,"The Old Rugged Cross",127,"Salib Di Bukit Golgota",site
163,"At the Cross",274,"Mengapa Darah-Mu Yesus",site
165,"Look, You Saints! the Sight Is Glorious",133,"Pandanglah Penebus Kita",site
166,"Christ the Lord Is Risen Today",132,"Penebus Bangkit Sudah",site
167,"Alleluia Sing to Jesus",135,"Haleluya! Puji Yesus",site
168,"And Have the Bright Immensities",136,"Sungguh Mulia Dan Cemerlang",site
169,"Come, You Faithful",139,"Marilah Yang Setiawan",site
171,"Thine Is the Glory",137,"Yesus Tlah Menang",site
172,"The Strife Is O'er",141,"Perjuangan Berakhirlah",site
176,"Hail the Day That Sees Him Rise",142,"Sambutlah Kebangkitan-Nya",site
177,"Jesus, Your Blood and Righteousness",134,"Kebenaran-Mu, Darah-Mu",site
178,"The Unveiled Christ",143,"Tirai Tlah Dibuka-Nya",title-match
180,"O Listen to Our Wondrous Story",82,"Hai, Dengarlah Kisah Ajaib",site
181,"Does Jesus Care?",144,"Adakah Yesus Lindung Aku",site
182,"Christ Is Alive",152,"Kristus Hidup! Bernyanyilah",site
183,"I Will Sing of Jesus' Love",145,"Ku Akan Menyanyikan",site
184,"Jesus Paid It All",146,"Tuhanku Berkata",site
185,"Jesus Is All the World to Me",147,"Yesus Harta Yang Terindah",site
186,"I've Found a Friend",148,"Padaku Ada Sahabat",site
187,"Jesus What A Friend For Sinners",336,"Yesus Sahabat Manusia",title-match
189,"All That Thrills My Soul",149,"Siapa Yang Dapat Menghibur",title-match
190,"Jesus Loves Me",156,"Kasih Yesus Padaku",site
191,"Love Divine",5,"Kasih Surga Yang Terindah",site
192,"O Shepherd Divine",151,"Gembala Agung, Engkau Milikku",site
195,"Showers of Blessing",150,"Segra Datang Hujan Berkat",site
198,"And Can It Be?",155,"Dapatkah Aku Disucikan?",site
200,"The Lord Is Coming",157,"Tuhan kan Datang Segra",site
201,"Christ Is Coming",158,"Kristus Datang Segra",site
203,"This Is the Threefold Truth",165,"Tiga Kebenaran",site
205,"Gleams of the Golden Morning",95,"Fajar Harapan Segra Menjelang",site
206,"Face to Face",162,"Muka Dengan Muka Nanti",site
207,"It May Be at Morn",160,"Mungkin Saja Saat Fajar Merekah",site
208,"There'll Be No Dark Valley",164,"Tiada Lagi Lembah Kegelapan",site
211,"Lo! He Comes",379,"Lihatlah Rajamu Datang",site
212,"Tis Almost Time For The Lord To Come",166,"Kedatangan Tuhan Tlah Dekat",title-match
213,"Jesus Is Coming Again",163,"Angkat Nafiri",site
214,"We Have This Hope",168,"Kita Memiliki Pengharapan",site
216,"When the Roll Is Called Up Yonder",169,"Bila Trompet Allah Berbunyi",site
221,"Rejoice, the Lord Is King",75,"Bersukacitalah, Tuhan Raja Surga",site
226,"Lift Up Your Heads",383,"Hai Angkatlah Kepalamu",site
229,"All Hail the Power of Jesus' Name",38,"Mari Puji Nama Yesus",site
230,"All Glory, Laud, and Honor",177,"Hormat Dan Puji Bagi-Mu",site
236,"I Love Thee",178,"Ku Kasih Pada-Mu Ya Yesus Tuhanku",site
237,"In the Cross of Christ I Glory",181,"Di Salib Kristus Ku Puji",site
240,"Fairest Lord Jesus",179,"Yesus Terindah",site
241,"Jesus, the Very Thought of Thee",180,"Jika Ku Mengenang Tuhan",site
244,"My Song Shall Be of Jesus",182,"Kunyanyikan Hal Yesus",site
245,"More About Jesus",183,"Ku Ingin Tahu Kasih Yesus",site
246,"Worthy, Worthy Is the Lamb",184,"Layaklah Domba Allah",site
248,"O How I Love Jesus",185,"Oh Ku Kasih Tuhan",title-match
249,"Praise Him! Praise Him!",186,"Puji Dia, Yesus Juruslamat",site
250,"O for a Thousand Tongues to Sing",187,"Beribu Lidah Bernyanyi",site
251,"He Lives",188,"Ku Sembah Juruslamat",site
252,"Come, Let Us Sing",190,"Nyanyikanlah Lagu Surga",site
253,"There's No Other Name Like Jesus",191,"Tiada Nama Sperti Yesus",site
253,"Theres No Other Name Like Jesus",507,"Ku Tau Nama Yesus Terindah",lyric-match
254,"The Great Physician Now Is Near",175,"Yesuslah Penyembuh Agung",site
260,"Hover O'er Me, Holy Spirit",193,"Roh Suci Tuntunlah Aku",site
262,"Sweet Sweet Spirit",195,"Sungguh Indah Roh Suci",title-match
264,"O for That Flame of Living Fire",196,"Oh Nyala Api Roh Kudus",site
265,"Breathe on Me, Breath of God",198,"Brilah Roh-Mu Tuhan",site
266,"Spirit of God",194,"Ya Roh Kudus Isilah Hatiku",site
268,"Holy Spirit, Light Divine",199,"Roh Kudus Terang Allah",site
271,"Break Thou the Bread of Life",204,"Brikanlah, Ya Tuhan",site
272,"Give Me the Bible",200,"Brilah Padaku Alkitab Yang Suci",site
273,"Lord, I Have Made Thy Word My Choice",201,"Tuhan, Kupilih Firman-Mu",site
279,"Only Trust Him",206,"Marilah Orang Berdosa",lyric-match
280,"Come, Ye Sinners",310,"Tariklah Aku, Ya Bapaku",site
281,"I Gave My Life for Thee",207,"Ku Srahkan Hidupku",site
282,"I Hear Thy Welcome Voice",208,"Suaramu Ku Dengar",lyric-match
283,"O Jesus Thou Art Standing",209,"Yesus Sedang Berdiri",title-match
284,"For You I Am Praying",210,"Padaku Ada Juruslamat",site
286,"Wonderful Words of Life",212,"Sabda Hidup Kekal",site
287,"Softly and Tenderly",213,"Dengan Lembut Dan Merdu",site
289,"The Savior Is Waiting",214,"Yesus Menunggu",site
290,"Turn Your Eyes Upon Jesus",205,"Apakah Engkau Susah",title-match
292,"Jesus I Come",221,"Aku Datang Skarang Yesus",title-match
294,"Power in the Blood",222,"Kuasa Dalam Darah-Nya",site
295,"Chief of Sinners",231,"Meski Aku Durhaka",site
296,"Lord, I'm Coming Home",226,"Ku Pulang Ke Rumah",site
298,"I Lay My Sins On Jesus",228,"Ku Bawa Pada Yesus",site
300,"Rock of Ages",358,"Pada-Mu Batu Zaman",site
301,"Nearer, Still Nearer",233,"Ku Datang Hampir Kepada-Mu",site
303,"Beneath the Cross of Jesus",235,"Di Bawah Salib Yesus",site
304,"Faith of Our Fathers",236,"Iman Orang Saleh Kekal",site
306,"Draw Me Nearer",237,"Jadikan Aku Milik-Mu, Tuhan",site
307,"I Am Coming to the Cross",238,"Ke Salib Aku Datang",site
308,"Wholly Thine",239,"Aku Mau Menjadi Milik-Mu",title-match
309,"I Surrender All",240,"Berserah Kepada Yesus",site
310,"I Would Draw Nearer to Jesus",241,"Ku Mau Dekat Pada Yesus",site
311,"I Would Be Like Jesus",242,"Ku Mau Sperti Yesus",title-match
312,"Near The Cross",243,"Tarik Aku, Ya Yesus",title-match
316,"Live Out Thy Life Within Me",244,"Hiduplah Dalam Aku",site
316,"Live Out Thy Life Within Me",333,"Critakanlah Padaku",title-match
317,"Lead Me To Calvary",245,"Pimpin Ku Ke Salib",title-match
318,"Whiter Than Snow",246,"Yesus, Aku Rindu Jadi Suci",site
319,"Lord, I Want to Be a Christian",247,"Aku Mau Menjadi Kristen",site
321,"My Jesus, I Love Thee",248,"Ku Kasih Padamu",site
322,"Nothing Between",249,"Tiada Yang Lain",site
323,"O for a Heart to Praise My God!",261,"Hati Yang Memuji Allah",site
324,"Just as I Am, Thine Own to Be",259,"Sebagaimana Ku Ada",site
325,"Jesus, I My Cross Have Taken",250,"Yesus, Ku Pikul Salibku",site
326,"Open My Eyes That I May See",251,"Buka Mataku, Ya Tuhan",site
327,"I'd Rather Have Jesus",252,"Ku Memilih Yesus",site
328,"Must Jesus Bear the Cross Alone",220,"Haruskah Yesus Sendiri?",site
329,"Take the World, but Give Me Jesus",255,"Buangkan Dunia, Trima Yesus",site
330,"Take My Life and Let It Be",265,"Kami Datang Pada-Mu",site
331,"O Jesus I Have Promised",431,"Ya Yesus, Ku Berjanji",site
332,"The Cleansing Wave",256,"Ku Lihat Darah Mengalir",title-match
334,"Come, Thou Fount of Every Blessing",275,"Tolonglah Aku Ya Allah",site
336,"There Is a Fountain",276,"Darah Yesus Tlah Tertumpah",site
337,Redeemed,277,"Betapa Snang Aku Kabarkan",title-match
341,"To God Be the Glory",280,"Muliakan Allah",site
343,"I Will Sing of My Redeemer",288,"Aku Puji Penebusku",site
350,"Blest Be the Tie That Binds",293,"Perhubungan Kita",site
355,"Where Cross The Crowded Ways Of Life",314,"Dalam Sibuk Kehidupan",title-match
358,"Far and Near the Fields Are Teeming",321,"Jauh Dan Dekat, Tampak Sudah",site
359,"Hark! the Voice of Jesus Calling",304,"Dengarlah Suara Yesus",site
361,"Hark Tis The Shepherds Voice I Hear",316,"Bawalah Yang Hilang",lyric-match
365,"O Zion, Haste",305,"Putra Sion Kerjakanlah Tugasmu",site
367,"Rescue the Perishing",323,"Tolonglah Yang Sesat",site
368,"Watchman, Blow the Gospel Trumpet",307,"Penjaga Bunyikan Trompet",site
369,"Bringing in the Sheaves",327,"Tabur Waktu Pagi",site
370,"Christ for the World",332,"Masyhurkanlah Yesus",site
371,"Lift Him Up",306,"Angkat Dia Hingga Nyata",site
372,"How Beauteous Are Their Feet",324,"Betapa Indahnya",site
375,"Work, For the Night Is Coming",326,"Berusahalah Kamu",site
376,"All Things Are Thine",339,"Milik Tuhan, Bukan Aku",site
377,"Go Forth Go Forth With Christ",337,"Maju Serta Yesus",site
381,"Holy Sabbath Day of Rest",340,"Sabat Hari Perhentian",site
383,"O Day of Rest and Gladness",345,"Oh Hari Perhentian",site
384,"Safely Through Another Week",350,"Satu Minggu Yang Lalu",site
388,"Don't Forget the Sabbath",347,"Ingat Hari Sabat",site
389,"Light of Light, Enlighten Me",348,"Trang Besar Bercahaya",site
390,"We Love Thy Sabbath, Lord",342,"Ku Suka Sabat-Mu",site
393,"Lord of the Sabbath",344,"Sabat Tuhan Yang Pnuh Berkat",site
395,"As Birds Unto the Genial Homeland",346,"Bagai Burung Terbang",site
412,"Cover With His Life",189,"Pandanglah Yesus, Ya Bapaku",site
413,"God Has Spoken By His Prophets",355,"Dengarkanlah Sabda-Nya",site
414,"Fruitful Trees the Spirit's Sowing",330,"Sbagai Pohon Tanaman Roh",site
418,"Day of Judgment, Day of Wonders!",352,"Hebat Hari Penghukuman",site
420,"Jerusalem My Happy Home",363,"Yerusalem, Oh Rumahku",site
422,"Marching to Zion",282,"Hai Skalian Orang",site
425,"Holy Holy Is What The Angels Sing",376,"Suci, Suci, Malaikat Memuji",title-match
426,"I Shall See the King",371,"Aku Klak Pandang Raja Surga",site
427,"No Night There",368,"Di Negri Yang Cemerlang",title-match
428,"Sweet By and By",367,"Di Pantai Nan Indah",site
429,"Jerusalem the Golden",365,"Yerusalem Yang Mulia",site
431,"Over Yonder",373,"Ya Di Sana",title-match
432,"Shall We Gather at the River",170,"Akan Berkumpulkah Kita",site
434,"We Speak of the Realms",15,"Aku Senang Mencritakan",site
436,"The Homeland",377,"Rumah Kekal",site
437,"Im Going Home",378,"Rumahku Indah Di Surga",title-match
439,"How Far From Home?",370,"Oh Brapa Jauh Dari Rumah?",site
442,"How Sweet Are the Tidings",97,"Betapa Manisnya Kabar Yesus",site
444,"I'm a Pilgrim",384,"Ku Berkelana",site
445,"I'm But a Stranger Here",317,"Aku Pengembara",site
447,"Long Upon the Mountains",382,"Atas Gunung Mengembara",site
449,"Never Part Again",386,"Tak kan Berpisah Lagi",title-match
451,"Together Let Us Sweetly Live",387,"Mari Hidup Rukun, Damai",site
452,"What Heavenly Music",388,"Betapa Indahnya Lagu Surgawi",site
456,"My Lord and I",393,"Aku Ada Sahabat",site
457,"I Love to Tell the Story",391,"Aku Suka Critakan",site
458,"More Love to Thee",392,"Lebih Kasih Tuhan, Kepada-Mu",site
461,"Be Still My Soul",394,"Hai Jiwaku, Tuhan Di Sisimu",site
462,"Blessed Assurance Jesus Is Mine",464,"Jaminan Berkat Tuhan Janji",title-match
463,"Peace, Perfect Peace",395,"Damai, Damai Ajaib",site
465,"I Heard The Voice Of Jesus",69,"Ku Mendengar Suara Tuhan",title-match
468,"A Child of the King",401,"Bapaku Kaya Rumah Dan Tanah",site
469,"Leaning on the Everlasting Arms",397,"Betapa Teguh Persatuannya",site
470,"There's Sunshine in My Soul Today",399,"Ada Sinar Dalam Jiwaku",site
472,"A Song Of Heaven And Homeland",403,"Sering Ku Dengar Lagu",title-match
473,"Nearer My God, to Thee",404,"Ya Allah Aku Mau Datang Dekat",site
474,"Take The Name Of Jesus With You",402,"Ingat Slalu Nama Yesus",lyric-match
475,"Balm In Gilead",405,"Ada Balsem Di Gilead",title-match
476,"Burdens Are Lifted At Calvary",406,"Beban Terangkat Di Kalvari",title-match
478,"Sweet Hour of Prayer",433,"Inilah Jam Ku Berdoa",site
479,"Tread Softly",408,"Berdiam, Berdiam",title-match
482,"Father, Lead Me Day by Day",354,"Bapa, Pimpinlah Aku",site
483,"I Need Thee Every Hour",415,"Ku Harap Pada-Mu",site
484,"I Need Thee, Precious Jesus",416,"Ku Perlu Engkau, Yesus",site
485,"I Must Tell Jesus",409,"Ku kan Critakan Kepada Yesus",site
486,"I Do Believe",414,Kupercaya,title-match
487,"In the Garden",411,"Aku Masuk Dalam Taman",site
488,"At First I Prayed for Light",426,"Pertama Ku Mohon",site
489,"Jesus, Lover of My Soul",227,"Yesus Yang Penuh Kasih",site
490,"Jesus, Lover of My Soul",413,"Yesus Yang Penuh Kasih",site
491,"In the Hour of Trial",432,"Saat Penghakiman",site
492,"Like Jesus",419,"Bapa Ajarlah Aku",title-match
493,"Fill My Cup Lord",417,"Bak Wanita Di Sumur",title-match
494,"We Would See Jesus",28,"Kami Mau Lihat Yesus Juruselamat",title-match
495,"Near to the Heart of God",421,"Ada Tempat Diam Teduh",site
499,"What a Friend We Have in Jesus",422,"Yesus Sahabat Terindah",site
499,"What A Friend We Have In Jesus",496,"Yesus Sahabat Terindah",title-match
500,"Take Time to Be Holy",423,"Sucikan Hatimu",site
501,"Tis The Blessed Hour Of Prayer",268,"Pada Saat Berdoa",title-match
502,"Sun of My Soul",410,"Ya Matahari Jiwaku",site
505,"I Need the Prayers",424,"Kuperlu Doa Kasihku",site
506,"A Mighty Fortress",434,"Ya Allah Kota Yang Teguh",site
507,"Moment by Moment",129,"Aku Tlah Mati Bersama Yesus",site
507,"Moment By Moment",441,"Setiap Saat Dalam Kasih-Nya",title-match
508,"Anywhere With Jesus",435,"Jalan Serta Yesus Slalu Sejahtra",site
509,"How Firm A Foundation",10,"Betapa Teguhnya",site
511,"I Know Whom I Have Believed",442,"Tak Ku Mengerti Rahmat-Nya",title-match
512,"Just When I Need Him Most",436,"Bila Ku Perlu Yesus Dekat",site
513,"In Heavenly Love Abiding",42,"Di Dalam Kasih Allah",site
515,"The Lord Is My Light",153,"Tuhan Terangku",site
516,"All the Way",438,"Tuhan Slalu Pimpin Aku",site
517,"My Faith Looks Up to Thee",439,"Ku Percaya Engkau",site
518,"Standing on the Promises",440,"Pegang Teguh Janji Kristus",site
520,"He Hideth My Soul",230,"Ajaiblah Yesus, Juruselamatku",site
521,"Depth Of Mercy",297,"Ada Satu Pintu Gerbang",title-match
522,"My Hope Is Built on Nothing Less",443,"Aku Membangun Harapan",site
523,"My Faith Has Found a Resting Place",444,"Ku Alaskan Percayaku",site
524,"'Tis So Sweet to Trust in Jesus",447,"Baik Berharap Pada Yesus",site
525,"Hiding In Thee",219,"Yesus Batu Zaman",title-match
526,"Because He Lives",446,"Allah Utus Yesus Putra-Nya",title-match
528,"A Shelter in the Time of Storm",448,"Tuhan Batu Karang Kita",site
529,"Under His Wings",303,"Dalam Naung-Nya",site
530,"It Is Well With My Soul",455,"Pada Saat Damai Perjalananku",site
531,"Well Build On The Rock",456,"Kita Membangun Di Batu Karang",title-match
532,"Day By Day",449,"Tiap Hari Aku Slalu Berjalan",site
534,"Will Your Anchor Hold?",451,"Apakah Jangkarmu Akan Tahan?",site
537,"He Leadeth Me",457,"Tuhan Pimpin Spanjang Jalan",site
539,"I Will Early Seek the Savior",462,"Ku Mencari Juruslamat",site
545,"Savior, Like a Shepherd",35,"Yesus Bagaikan Gembala",site
551,"Jesus, Savior, Pilot Me",460,"Yesus, Kemudikanlah",site
552,"The Lord's My Shepherd",461,"Tuhan Adalah Gembalaku",site
554,"O Let Me Walk With Thee",459,"Bri Aku Jalan Serta-Mu",site
559,"Now Thank We All Our God",466,"Mari Puji Allah",site
560,"Let All Things Now Living",34,"Semua Makhluk Puji Tuhan",title-match
564,"For Sunrise Hope and Sunset Calm",465,"Karna Bumi Yang Indah",site
567,"Have Thine Own Way, Lord",271,"Jadilah Tuhan Kehendak-Mu",site
569,"Pass Me Not, O Gentle Savior",467,"Janganlah Lewatkan Aku",site
570,"Not I, but Christ",468,"Hanya Kristus",site
572,"Give of Your Best to the Master",469,"Bri Yang Terbaik Untuk Tuhan",site
573,"Ill Go Where You Want Me To Go",470,"Ke Manapun Ku Mau Pergi, Tuhan",title-match
574,"O Master, Let Me Walk With Thee",450,"Bri Ku Berjalan Dengan-Mu",site
577,"In the Heart of Jesus",19,"Hati Yesus Penuh",site
578,"So Send I You",472,"Tuhan Mengutus Engkau",site
579,"Tis Love That Makes Us Happy",357,"Kasih Yang Bahagiakan",title-match
583,"You That Know the Lord",353,"Engkau Tahu Tuhan Pemurah",site
584,"There's A Spirit in the Air",334,"Roh Kudus Slalu Ada",site
586,"What Joy It Is to Worship Here",301,"Senang Berbakti Di Sini",site
588,"Lord of All Nations",78,"Tuhan Atas Sgala Bangsa",site
590,"Trust and Obey",463,"Kalau Serta Tuhan",site
593,"In Times Like These",473,"Pada Masa Seperti Skarang",site
594,"Heir of the Kingdom",477,"Hai Waris Surga",site
595,"Let Every Lamp Be Burning",478,"Biarlah Lampumu Makin Trang",site
596,"Look for the Waymarks",475,"Perhatikan Tanda Akhir Zaman",site
598,"Watch, Ye Saints",481,"Jagalah Hai Umat Allah",site
599,"Rejoice, Rejoice, Believers",482,"Bergembiralah Kamu",site
604,"We Know Not the Hour",381,"Kita Tak kan Tau",site
608,"Faith Is The Victory",445,"Percaya Yang Menang",title-match
609,"Am I a Soldier of the Cross?",476,"Akukah Laskar Salib-Nya?",site
610,"Stand Like The Brave",479,"Hai Kristen, Jaga!",title-match
611,"Awake, My Soul",22,"Hai Jiwaku Bangun Segra",site
612,"Onward, Christian Soldiers!",485,"Maju Laskar Kristus",site
614,"Sound the Battle Cry",483,"Sorakkanlah Prang",site
615,"Rise Up O Church of God",480,"Bangun Umat Allah",site
616,"Soldiers of Christ Arise",458,"Laskar Kristus Bangun",site
618,"Stand Up! Stand Up for Jesus!",471,"Berdiri Karna Yesus",site
619,"Lead On, O King Eternal",234,"Raja Kekal, Pimpinlah",site
620,"On Jordans Stormy Banks",278,"Di Tepian Sungai Yordan",title-match
623,"I Will Follow Thee",211,"Aku Mau Turut, Ya Tuhan",site
625,"Higher Ground",232,"Di Tempat Yang Lebih Tinggi",title-match
626,"In a Little While We're Going Home",159,"Tak Lama Lagi Masuk Surga",site
635,"Lord of All Good",486,"Tuhan, Ini Persembahan Kami",site
645,"God of Our Fathers",487,"Maha Besar Allah",site
647,"Mine Eyes Have Seen the Glory",489,"Mataku Tlah Melihat",site
652,"Love At Home",490,"Betapa Bahagianya Di Rumah Tangga",title-match
655,"Happy the Home",338,"Rumah Tangga Bahagia",site
656,"O Perfect Love",492,"Kasih-Mu Tuhan",site
660,"Glory Be to the Father",57,"Muliakan Tuhan Allah",site
661,"Holy, Holy, Holy",518,"Sucilah Tuhan",site
665,"All Things Come of Thee",418,"Semua Milik-Mu Tuhan",site
668,"O Thou Who Hearest",516,"Dengar Ya Tuhan",site
669,"The Lord Bless You and Keep You",519,"Tuhan Memberkati Dan Melindungimu",site
670,"We Give Thee But Thine Own",514,"Kami Persembahkan Berkat-Mu",site
671,"As We Come to You in Prayer",520,"Kami Datang Dalam Doa",site
672,"Spirit of the Living God",524,"Datanglah Ya Roh Allah",site
676,"Thy Word Is A Lantern",203,"Firman-Mu Pelita",site
679,"God Be in My Head",521,"Kiranya Allah Dalam Pikiranku",site
681,"This Is the Day the Lord Hath Made",513,"Sabat Diciptakan Allah",site
684,"Hear Our Prayer, O Lord",517,"Dengar Ya Tuhan Kami Berdoa",site
687,"The Lord Is in His Holy Temple",515,"Tuhan Ada Dalam Bait Allah",site
